structure_id,n_surface,n_bulk,r_thr,r_max,center_x,center_y,center_z,alpha_Bi__bulk,alpha_Bi__surface,alpha_Co__bulk,alpha_Co__surface,alpha_La__bulk,alpha_La__surface,alpha_Ni__bulk,alpha_Ni__surface,alpha_Sn__bulk,alpha_Sn__surface
1354.optdone,58,10,3.4691753487029957,6.938350697405991,22.18748883456019,22.361173204650733,22.63432443811454,-0.4571428571428571,0.0788177339901478,-1.0923076923076924,0.18832891246684347,0.5142857142857142,-0.08866995073891637,1.0,-0.1724137931034484,0.02857142857142847,-0.0049261083743843415
1355.optdone,56,12,3.591601092205158,7.183202184410316,22.327582799163025,22.066003581028994,22.280899254675283,0.5952380952380952,-0.12755102040816335,-1.1794871794871797,0.25274725274725274,-0.2142857142857144,0.04591836734693877,0.5641025641025641,-0.1208791208791209,0.19047619047619047,-0.04081632653061229
1356.optdone,57,11,3.686170157746576,7.372340315493152,22.373896641091196,22.29634241891372,22.442539011520683,0.11688311688311681,-0.022556390977443552,0.04895104895104885,-0.009446693657219951,-0.3246753246753247,0.06265664160401008,0.04895104895104885,-0.009446693657219951,0.11688311688311681,-0.022556390977443552
1358.optdone,57,11,3.4420996991991237,6.8841993983982475,22.25605221653022,22.29946319227062,22.406379484335325,1.0,-0.1929824561403508,0.5244755244755244,-0.10121457489878538,0.11688311688311681,-0.022556390977443552,-0.4265734265734267,0.08232118758434548,-1.2077922077922079,0.23308270676691734
1359.optdone,57,11,3.6709393534513084,7.341878706902617,22.539796545785205,22.566311108967472,22.194840926036708,0.5584415584415584,-0.10776942355889729,0.04895104895104885,-0.009446693657219951,-0.3246753246753247,0.06265664160401008,-0.4265734265734267,0.08232118758434548,0.11688311688311681,-0.022556390977443552
1360.optdone,56,12,3.6631013836741015,7.326202767348203,22.54127819149623,22.370313161916084,22.512972463663168,1.0,-0.2142857142857144,-0.3076923076923077,0.06593406593406581,0.5952380952380952,-0.12755102040816335,-0.3076923076923077,0.06593406593406581,-1.0238095238095242,0.21938775510204067
1361.optdone,58,10,3.8829273245036147,7.765854649007229,22.012043154774243,22.4307905923707,22.531593740140398,0.02857142857142847,-0.0049261083743843415,0.4769230769230769,-0.08222811671087538,-0.9428571428571431,0.16256157635467972,-0.04615384615384621,0.007957559681697646,0.5142857142857142,-0.08866995073891637
1363.optdone,60,8,3.328470771784661,6.656941543569322,22.4019208501508,22.571855581791127,22.415764243637426,-0.2142857142857144,0.02857142857142847,1.0,-0.13333333333333353,-0.8214285714285716,0.10952380952380958,-0.3076923076923077,0.04102564102564099,0.3928571428571428,-0.05238095238095242
1365.optdone,57,11,3.5589350159686286,7.117870031937257,22.444454571566897,22.54359974288838,22.478564337092923,-0.3246753246753247,0.06265664160401008,0.5244755244755244,-0.10121457489878538,0.11688311688311681,-0.022556390977443552,-0.4265734265734267,0.08232118758434548,0.11688311688311681,-0.022556390977443552
1366.optdone,58,10,3.6043470240598827,7.208694048119765,22.27048365607208,22.61404514836749,22.515921890444584,-0.4571428571428571,0.0788177339901478,0.4769230769230769,-0.08222811671087538,0.02857142857142847,-0.0049261083743843415,-0.5692307692307692,0.09814323607427045,0.5142857142857142,-0.08866995073891637
