G,pH=1,pH=7,pH=14
-2.516666667,,-36.85420379,-33.40807022
-2.5,,,
-2.483333333,,-36.22282165,
-2.466666667,,-35.90713059,-32.46099702
-2.45,-37.57461371,-35.59143952,-32.14530595
-2.433333333,-37.25892264,,
-2.416666667,-36.94323157,-34.96005738,-31.51392381
-2.4,,,-31.19823274
-2.383333333,-36.31184943,-34.32867524,-30.88254167
-2.366666667,,,
-2.35,-35.68046729,-33.6972931,-30.25115954
-2.333333333,-35.36477622,-33.38160204,-29.93546847
-2.316666667,-35.04908516,-33.06591097,-29.72592791
-2.3,-34.73339409,-32.7502199,-29.30408633
-2.283333333,-34.41770302,-32.43452883,-28.98839526
-2.266666667,,,
-2.25,-33.78632088,-31.80314669,
-2.233333333,-33.47062981,-31.48745562,-28.04132205
-2.216666667,,-31.17176455,-27.72563099
-2.2,,-30.85607348,-27.40993992
-2.183333333,-32.52355661,-30.54038242,-27.09424885
-2.166666667,-32.20786554,-30.22469135,-26.77855778
-2.15,-31.89217447,-29.90900028,-26.46286671
-2.133333333,,,-26.14717564
-2.116666667,-31.26079233,-29.27761814,-25.83148457
-2.1,-30.94510126,-28.96192707,-25.5157935
-2.083333333,-30.62941019,-28.646236,-25.22922069
-2.066666667,-30.31371912,-28.33054493,-24.90175214
-2.05,-29.99802805,-28.01485387,-24.56952626
-2.033333333,-29.68233699,-27.6991628,-24.26015213
-2.016666667,-29.46213407,-27.38347173,-23.93733816
-2,,-27.06778066,
-1.983333333,-28.73526378,-26.75208959,-23.30595602
-1.966666667,-28.41957271,,-22.99029404
-1.95,-28.10388164,-26.12070745,-22.67465262
-1.933333333,-27.78819057,-25.80501638,-22.35888282
-1.916666667,-27.4724995,-25.48932531,-22.04319175
-1.9,,-25.17490273,-21.7275866
-1.883333333,-26.84111737,-24.85794318,-21.41253591
-1.866666667,-26.5254263,-24.54985603,-21.09642273
-1.85,-26.25516336,-24.22656104,-20.78042747
-1.833333333,-25.89404416,-23.91086997,-20.4647364
-1.816666667,-25.57835309,-23.5951789,-20.14904533
-1.8,-25.26436884,,-19.833357
-1.783333333,-24.95163205,-22.96379676,-19.51766366
-1.766666667,-24.63127989,-22.64813892,-19.20197213
-1.75,-24.34429999,-22.33241463,-18.88628669
-1.733333333,-24.00739323,-22.01672416,-18.5705902
-1.716666667,-23.68420668,-21.70251959,-18.25489909
-1.7,-23.36851561,-21.38547945,-17.93921154
-1.683333333,-23.05282454,-21.07425566,-17.62351683
-1.666666667,-22.73713347,-20.79178294,-17.30782583
-1.65,-22.42151787,-20.43826821,-16.99213475
-1.633333333,-22.10581347,-20.12359131,-16.67644366
-1.616666667,-21.79017733,-19.80688683,-16.36075251
-1.6,-21.47440408,-19.49119511,-16.04506144
-1.583333333,-21.15867813,-19.17550394,-15.72937039
-1.566666667,-20.84298706,-18.85981409,-15.4136793
-1.55,-20.52777216,-18.54412183,-15.09798823
-1.533333333,-20.21160492,-18.22843073,-14.78229716
-1.516666667,-19.89591385,-17.91273966,-14.4666061
-1.5,-19.58022278,-17.59704859,-14.15091503
-1.483333333,-19.264532,-17.28135865,-13.83522396
-1.466666667,-18.94884065,-16.96566646,-13.51953289
-1.45,-18.63314958,-16.64997539,-13.20384186
